Library, Average Power, Total Energy, Number of Seconds, Standard Deviation
json-lib-100.csv,46.866382016631974,22542.72975,481,5.290895931870365
cookjson-200.csv,25.766372999999994,1545.98238,60,1.708191949008847
genson-200.csv,54.87737952380952,3457.27491,63,5.386443304962522
fastjson-200.csv,52.11120846153847,3387.2285500000003,65,8.483162917640932
corn-200.csv,53.02260197080294,7264.0964699999995,137,4.664553849322008
jsonij-200.csv,54.04751957446807,5080.46684,94,5.657356328565778
flex-json-200.csv,55.579789999999974,7447.691860000001,134,5.014856847287964
json-simple-200.csv,34.78914602409636,2887.49912,83,4.172615039380956
gson-200.csv,30.537079558823535,2076.52141,68,3.783952064107181
jsonutils-200.csv,38.78908450000001,4654.69014,120,4.0201125123261265
jackson-databind-200.csv,29.35350956521739,2025.39216,69,3.721457866241019
json-200.csv,34.078465432098774,2760.3556999999996,81,6.405126056947291
mjson-200.csv,52.641646200000004,5264.16462,100,8.535955002848132
sojo-200.csv,51.758163898305085,15268.65835,295,8.872167811877144